classification,ax,ay,az,gx,gy,gz,ax2,ay2,az2,gx2,gy2,gz2,mx,my,mz,steps,temp
0,-3731,11376,12542,420,197,286,15488,-2172,-1652,-1277,258,-514,156,116,339,7,-5600
0,15232,-803,891,-646,-210,632,16472,-2268,-1080,217,-819,-199,149,117,341,7,-5568
0,15531,-864,352,-475,200,240,16732,-2112,-1600,-18,51,-24,148,119,335,7,-5552
0,14929,-495,-90,-467,17,-226,16736,-2408,-1292,-147,-254,-35,151,118,337,7,-5584
0,15270,-446,140,331,216,351,16652,-2672,-1192,227,-212,-55,159,117,336,7,-5584
0,15202,-950,243,-737,-27,83,16828,-3056,-1180,-408,81,-188,163,115,333,7,-5584
0,15368,-1093,299,-220,16,96,16636,-2592,-1416,-426,-101,124,162,114,336,7,-5600
0,15123,-1050,359,49,-43,-117,16488,-2524,-1076,-469,-118,184,162,113,338,7,-5584
0,15287,-1033,361,-135,-123,133,16192,-2472,-1672,-47,-26,-98,164,112,340,7,-5584
0,15287,-1066,102,-63,19,123,16300,-2720,-1700,-215,10,-203,163,109,343,7,-5568
0,15238,-1207,305,40,-32,-9,16532,-2464,-1404,-264,-171,98,163,111,342,7,-5584
0,15317,-924,311,-90,-55,333,16460,-2680,-1428,-227,-362,-159,162,108,344,7,-5616
0,15427,-876,207,-234,94,11,16516,-2768,-1776,-176,-22,-69,162,109,343,7,-5568
0,15243,-994,189,-390,-29,5,16240,-2672,-1712,-82,-64,-85,161,109,343,7,-5552
0,15261,-883,102,-105,-69,53,16740,-2668,-1948,-451,-78,-229,158,111,343,7,-5584
0,15396,-783,30,-154,145,319,16352,-2740,-1512,-300,-219,-134,159,109,346,7,-5568
0,15424,-849,-100,-294,-87,190,16676,-3012,-1828,-307,-185,-70,160,105,347,7,-5568
0,15323,-1000,-151,-104,162,-91,16608,-3012,-1728,-139,-222,-126,160,106,348,7,-5568
0,15438,-1111,81,-139,44,80,16528,-2520,-1740,-90,-34,203,162,104,349,7,-5568
0,15467,-1201,-105,-125,178,155,16628,-2772,-1712,-111,-221,-134,162,105,349,7,-5600
1,-3196,2538,7575,-2844,13365,2712,-476,-14520,13844,735,651,-1085,276,65329,65295,7,-5584
1,-2688,-11634,12627,-845,-132,336,-432,-12672,11936,-319,99,-704,272,65327,65289,7,-5584
1,-2488,-11340,10282,-493,-274,-28,232,-11740,11648,-734,60,199,271,65334,65289,7,-5584
1,-2146,-11253,10368,-275,-126,398,156,-11976,11944,-624,-385,170,265,65339,65287,7,-5600
1,-2557,-11508,10291,83,176,-219,268,-11732,11988,-712,-150,-158,267,65343,65288,7,-5552
1,-2391,-11378,10875,-974,-14,-81,540,-11832,12628,10,-447,50,266,65346,65286,7,-5552
1,-2341,-10817,10790,126,50,188,160,-12116,11844,-296,161,-228,264,65348,65285,7,-5552
